# 几何战士 - 难度递增记录
# 会话ID: 20260223_204451
# 开始时间: 2026-02-23 20:44:51
# 总游戏时间: 20.02秒
# 最终难度等级: 4

GameTime,Level,SpawnInterval,MaxEnemies,ActiveEnemies,EnemyMultiplier,EnemyMaxHealth,EnemyAttack
5.00,1,0.909,33,3,1.10,33,11
10.00,2,0.826,36,7,1.21,36,12
15.00,3,0.751,40,4,1.33,40,13
20.02,4,0.683,44,4,1.46,44,15
