# 几何战士 - 难度递增记录
# 会话ID: 20260301_213621
# 开始时间: 2026-03-01 21:36:21
# 总游戏时间: 10.00秒
# 最终难度等级: 2

GameTime,Level,SpawnInterval,MaxEnemies,ActiveEnemies,EnemyMultiplier,EnemyMaxHealth,EnemyAttack
5.00,1,0.909,33,4,1.10,33,11
10.00,2,0.826,36,5,1.21,36,12
