# 几何战士 - 难度递增记录
# 会话ID: 20260223_205955
# 开始时间: 2026-02-23 20:59:55
# 总游戏时间: 25.02秒
# 最终难度等级: 5

GameTime,Level,SpawnInterval,MaxEnemies,ActiveEnemies,EnemyMultiplier,EnemyMaxHealth,EnemyAttack
5.01,1,0.909,33,3,1.10,33,11
10.01,2,0.826,36,6,1.21,36,12
15.02,3,0.751,40,6,1.33,40,13
20.02,4,0.683,44,8,1.46,44,15
25.02,5,0.621,48,7,1.61,48,16
