# 几何战士 - 难度递增记录
# 会话ID: 20260222_221225
# 开始时间: 2026-02-22 22:12:25
# 总游戏时间: 35.01秒
# 最终难度等级: 7

GameTime,Level,SpawnInterval,MaxEnemies,ActiveEnemies,EnemyMultiplier,EnemyMaxHealth,EnemyAttack
5.00,1,0.909,33,4,1.10,33,11
10.01,2,0.826,36,6,1.21,36,12
15.01,3,0.751,40,4,1.33,40,13
20.01,4,0.683,44,3,1.46,44,15
25.01,5,0.621,48,4,1.61,48,16
30.01,6,0.564,53,2,1.77,53,18
35.01,7,0.513,58,4,1.95,58,19
